state,area_nr,area_name,total_n,germans_n,foreigner_n,for_prop,pop_move_n,pop_migr_background_n,income,unemp_n,unemp_prop,votes_total,afd_votes,afd_prop,east,east_num,state_id,total_n_z,germans_n_z,foreigner_n_z,for_prop_z,pop_move_n_z,pop_migr_background_n_z,income_z,unemp_n_z,unemp_prop_z,votes_total_z,afd_votes_z,afd_prop_z
Hessen,169,Werra-Meißner – Hersfeld-Rotenburg,221900,207200,14700,6,3727920,31066,19842,11538,5,131063,17173,0.13102858930438033,no,0,7,-1.397800339607826,-1.3739927977832749,-0.7615668932192039,-0.6740534445935665,-0.05814649194450169,-0.7319619339298702,-0.5120089615437989,-0.7607553408779014,-0.27927460568020757,-1.2228017272218406,-0.2963520797423722,0.06304495908923169
Hessen,170,Schwalm-Eder,237400,224000,13400,5,2350260,34897,20606,11395,4,143054,18504,0.12934975603618215,no,0,7,-0.9884981950832796,-0.7775255502411493,-0.8311225747845242,-0.8589543436151045,-1.0295530857345405,-0.605155883326804,-0.18549392113683374,-0.7816662409996066,-0.690619960844651,-0.6237977570422252,-0.1374832980979939,0.03230836558058462
Hessen,171,Marburg,245200,220800,24399,10,4143879,46342,19718,9808,4,140784,16127,0.11455136947380384,no,0,7,-0.78252679332254,-0.8911383592967923,-0.24262800437148,0.06555015149258542,0.23515179307960496,-0.22632653089869334,-0.5650035492538299,-1.0137333633292989,-0.690619960844651,-0.737194388875077,-0.42120312827732315,-0.238625026655454
Hessen,172,Lahn-Dill,275400,250900,24499,8,2919240,61138,21649,15422,5,152795,20930,0.13698092215059393,no,0,7,0.014952223751092262,0.1775321258828495,-0.23727756732799382,-0.3042516465504906,-0.6283576356709136,0.26342087832160604,0.2602589416177012,-0.19279774596389707,-0.27927460568020757,-0.13719132942821183,0.15208519496681588,0.17202209135597155
Hessen,173,Gießen,286500,258100,28399,9,3352049,63603,19880,16617,5,164311,20357,0.12389310514816415,no,0,7,0.30806537241060616,0.4331609462580462,-0.028610522632033068,-0.11935074752895257,-0.3231781890355515,0.3450123465378833,-0.49576868466491847,-0.018052811380417328,-0.27927460568020757,0.4380842706542209,0.08369164734680928,-0.06759366962486087
Hessen,174,Fulda,271000,251900,19099,7,4607000,43360,20727,9214,3,158626,25134,0.1584481736915764,no,0,7,-0.10123677211394026,0.21303612871273794,-0.5262011676762471,-0.48915254557202853,0.5617046385731496,-0.32503069244876986,-0.13378146054881962,-1.1005940253733046,-1.1019653160090945,0.15409314643846628,0.6538765984476321,0.565051105530336
Hessen,175,Main-Kinzig – Wetterau II – Schotten,232200,212300,19899,8,2879279,52245,21761,10681,4,136022,20921,0.1538060019702695,no,0,7,-1.1258124629237725,-1.192922383350844,-0.4833976713283578,-0.3042516465504906,-0.6565346741959805,-0.03093730701200589,0.30812502083966464,-0.886074511537351,-0.690619960844651,-0.9750775434072535,0.15101095076336027,0.48006080429078274
Hessen,176,Hochtaunus,250300,218900,31400,12,3579290,57318,27206,10012,4,144609,16132,0.11155598890802094,no,0,7,-0.6478531844789797,-0.9585959646735803,0.131956093042987,0.43535194953566136,-0.1629475038306082,0.13697892757670585,2.6351857473002998,-0.9839024288899434,-0.690619960844651,-0.5461185665135535,-0.42060632594207004,-0.29346537119603056
Hessen,177,Wetterau I,237700,211000,26699,11,4135979,45400,22008,10696,4,137220,15895,0.11583588398192683,no,0,7,-0.9805762180924819,-1.2390775870296988,-0.11956795237129801,0.2504510505141234,0.22958139683456533,-0.25750671875254044,0.4136868205523877,-0.8838810604756336,-0.690619960844651,-0.9152320962989907,-0.44889475663306755,-0.2151077417409669
Hessen,178,Rheingau-Taunus – Limburg,294000,262700,31300,10,3351600,52332,22673,14112,4,171621,20364,0.11865680773331935,no,0,7,0.506114797180548,0.596479359275533,0.12660565599950083,0.06555015149258542,-0.3234947849740354,-0.02805760813378434,0.6978916659327958,-0.38435913868720956,-0.690619960844651,0.8032513978340214,0.08452717061616363,-0.16346140597440367
Hessen,179,Wiesbaden,276200,227900,48299,17,745740,93355,22243,20162,7,138226,15496,0.11210626076136183,no,0,7,0.03607749572655272,-0.6390599392045844,1.0361264490217155,1.3598564446433514,-2.160921716505553,1.3298031629154412,0.5141201117770432,0.5003327895387757,0.5434161046486795,-0.864977906156326,-0.49651958298626586,-0.2833908256197797
