state,area_nr,area_name,total_n,germans_n,foreigner_n,pop_move_n,pop_migr_background_n,income,unemp_n,votes_total,afd_votes,afd_prop,east,state_id
Nordrhein-Westfalen,126,Borken II,260300,242400,17900,3383900,38264,20527,10151,157053,9401,0.05985877378973977,0,10
Nordrhein-Westfalen,127,Coesfeld – Steinfurt II,244800,231200,13600,2986560,29131,21996,8078,155826,9506,0.06100394029237739,0,10
Nordrhein-Westfalen,128,Steinfurt III,254100,234800,19299,4091010,41164,20477,12196,151387,10341,0.06830837522376426,0,10
Nordrhein-Westfalen,129,Münster,310000,280700,29300,7099000,63240,22127,17050,190122,9392,0.04939985903788094,0,10
Nordrhein-Westfalen,130,Warendorf,277400,252900,24499,4271960,58531,22079,15811,162139,12024,0.07415859231893622,0,10
Nordrhein-Westfalen,131,Gütersloh I,322100,284400,37700,5507910,86322,23294,15138,175031,15082,0.08616759316921002,0,10
Nordrhein-Westfalen,132,Bielefeld – Gütersloh II,344500,299900,44600,3617250,112651,21228,29627,184603,16478,0.08926182131384647,0,10
Nordrhein-Westfalen,133,Herford – Minden-Lübbecke II,301100,275900,25200,4486390,77382,22131,17162,167031,18097,0.10834515748573618,0,10
Nordrhein-Westfalen,134,Minden-Lübbecke I,264100,246500,17600,3908680,63119,21652,13997,149668,15825,0.10573402464120586,0,10
Nordrhein-Westfalen,135,Lippe I,221400,204200,17200,4760100,58006,22582,15276,127537,14147,0.11092467284003858,0,10
Nordrhein-Westfalen,136,Höxter – Lippe II,273400,254800,18599,3909620,59054,21226,16130,158102,15192,0.09608986603585028,0,10
Nordrhein-Westfalen,137,Paderborn – Gütersloh III,331400,303900,27500,5567519,93123,20240,19221,185897,18483,0.09942602624033739,0,10
Nordrhein-Westfalen,138,Hagen – Ennepe-Ruhr-Kreis I,287600,246800,40800,4572840,81103,21467,27034,148785,17622,0.11843935880633129,0,10
Nordrhein-Westfalen,139,Ennepe-Ruhr-Kreis II,227400,207700,19700,3229080,44570,24236,14781,136424,13190,0.09668386794112473,0,10
Nordrhein-Westfalen,140,Bochum I,276200,244700,31500,3286779,64907,19422,27343,155734,15189,0.09753168864859312,0,10
Nordrhein-Westfalen,141,Herne – Bochum II,244400,214000,30400,3128320,63788,18311,28105,126558,16994,0.13427835458841006,0,10
Nordrhein-Westfalen,142,Dortmund I,283800,248100,35700,3150180,82018,18206,32637,154923,15197,0.09809389180431569,0,10
Nordrhein-Westfalen,143,Dortmund II,302400,246100,56299,3356639,87393,18206,34775,142416,15510,0.10890630266262218,0,10
Nordrhein-Westfalen,144,Unna I,253600,232000,21599,3017840,58835,20283,20795,149581,14690,0.09820766006377815,0,10
Nordrhein-Westfalen,145,Hamm – Unna II,321800,283700,38100,6242920,85277,18884,28640,169703,19067,0.1123551145236089,0,10
Nordrhein-Westfalen,146,Soest,303000,275900,27100,7605300,61812,21376,18180,173076,16165,0.09339827590191592,0,10
Nordrhein-Westfalen,147,Hochsauerlandkreis,263800,242700,21100,3376640,45901,22750,12662,152814,12216,0.07994031960422475,0,10
Nordrhein-Westfalen,148,Siegen-Wittgenstein,280800,253300,27500,5700240,56721,23366,15163,160964,17160,0.10660768867572873,0,10
Nordrhein-Westfalen,149,Olpe – Märkischer Kreis I,280600,250000,30600,3142720,64818,25863,15433,151288,13847,0.09152741790492307,0,10
Nordrhein-Westfalen,150,Märkischer Kreis II,272000,241000,31000,2312000,76160,24680,18224,144207,16682,0.11568093088407637,0,10
Sachsen,151,Nordsachsen,197600,192100,5500,1679600,5335,18348,16598,116556,31302,0.26855760321218985,1,13
Sachsen,152,Leipzig I,275200,254800,20399,7540480,22291,16542,22841,159937,33289,0.20813820441798958,1,13
Sachsen,153,Leipzig II,285200,263700,21500,7814480,23101,16542,23671,173798,27769,0.15977744277839792,1,13
Sachsen,154,Leipzig-Land,258399,253100,5299,2248079,7235,19319,17054,159392,42824,0.26867094960851234,1,13
Sachsen,155,Meißen,245200,238600,6599,2697200,8091,19013,17654,150919,49618,0.3287723878371842,1,13
Sachsen,156,Bautzen I,259300,254100,5200,1063129,8297,18623,17891,158833,52040,0.3276397222239711,1,13
Sachsen,157,Görlitz,260000,251000,9000,1950000,11700,17483,26520,153713,50553,0.3288791448999109,1,13
Sachsen,158,Sächsische Schweiz-Osterzgebirge,247400,240800,6599,2894580,7174,18735,15833,154371,54746,0.3546391485447396,1,13
