date,hits,keyword,geo,gprop,category
2015-03-07T23:00:00Z,23,machine learning,world,web,0
2015-03-14T23:00:00Z,20,machine learning,world,web,0
2015-03-21T23:00:00Z,20,machine learning,world,web,0
2015-03-28T23:00:00Z,21,machine learning,world,web,0
2015-04-04T22:00:00Z,24,machine learning,world,web,0
2015-04-11T22:00:00Z,26,machine learning,world,web,0
2015-04-18T22:00:00Z,24,machine learning,world,web,0
2015-04-25T22:00:00Z,23,machine learning,world,web,0
2015-05-02T22:00:00Z,24,machine learning,world,web,0
2015-05-09T22:00:00Z,25,machine learning,world,web,0
2015-05-16T22:00:00Z,21,machine learning,world,web,0
2015-05-23T22:00:00Z,21,machine learning,world,web,0
2015-05-30T22:00:00Z,24,machine learning,world,web,0
2015-06-06T22:00:00Z,25,machine learning,world,web,0
2015-06-13T22:00:00Z,23,machine learning,world,web,0
2015-06-20T22:00:00Z,24,machine learning,world,web,0
2015-06-27T22:00:00Z,24,machine learning,world,web,0
2015-07-04T22:00:00Z,23,machine learning,world,web,0
2015-07-11T22:00:00Z,24,machine learning,world,web,0
2015-07-18T22:00:00Z,22,machine learning,world,web,0
2015-07-25T22:00:00Z,25,machine learning,world,web,0
2015-08-01T22:00:00Z,23,machine learning,world,web,0
2015-08-08T22:00:00Z,23,machine learning,world,web,0
2015-08-15T22:00:00Z,24,machine learning,world,web,0
2015-08-22T22:00:00Z,25,machine learning,world,web,0
2015-08-29T22:00:00Z,24,machine learning,world,web,0
2015-09-05T22:00:00Z,25,machine learning,world,web,0
2015-09-12T22:00:00Z,27,machine learning,world,web,0
2015-09-19T22:00:00Z,25,machine learning,world,web,0
2015-09-26T22:00:00Z,26,machine learning,world,web,0
2015-10-03T22:00:00Z,28,machine learning,world,web,0
2015-10-10T22:00:00Z,29,machine learning,world,web,0
2015-10-17T22:00:00Z,30,machine learning,world,web,0
2015-10-24T22:00:00Z,29,machine learning,world,web,0
2015-10-31T23:00:00Z,29,machine learning,world,web,0
